2013-09-06 10:26:05.594 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:26:05.594 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:26:23.162 AM	doWork	Send Email to CC For status Completed
2013-09-06 10:26:28.627 AM	doWork	--------End------------
2013-09-06 10:28:39.927 AM	doWork	--------Start----------
2013-09-06 10:28:39.943 AM	doWork	Send email to Validator
2013-09-06 10:28:42.785 AM	doWork	Create SAP File
2013-09-06 10:28:42.785 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:28:42.785 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:33:26.548 AM	doWork	Send Email to CC For status Completed
2013-09-06 10:33:26.563 AM	doWork	--------End------------
2013-09-06 10:33:42.617 AM	doWork	--------Start----------
2013-09-06 10:33:42.633 AM	doWork	Send email to Validator
2013-09-06 10:33:45.475 AM	doWork	Create SAP File
2013-09-06 10:33:45.475 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:33:45.475 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:35:35.554 AM	doWork	Send Email to CC For status Completed
2013-09-06 10:35:43.753 AM	doWork	--------End------------
2013-09-06 10:35:55.683 AM	doWork	--------Start----------
2013-09-06 10:35:55.715 AM	doWork	Send email to Validator
2013-09-06 10:35:58.729 AM	doWork	Create SAP File
2013-09-06 10:35:58.729 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:35:58.729 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:39:25.520 AM	doWork	Send Email to CC For status Completed
2013-09-06 10:39:25.567 AM	doWork	--------End------------
2013-09-06 10:42:17.191 AM	doWork	--------Start----------
2013-09-06 10:42:17.207 AM	doWork	Send email to Validator
2013-09-06 10:42:17.207 AM	doWork	Create SAP File
2013-09-06 10:42:17.207 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:42:17.207 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:51:35.930 AM	doWork	--------Start----------
2013-09-06 10:51:35.946 AM	doWork	Send email to Validator
2013-09-06 10:51:35.946 AM	doWork	Create SAP File
2013-09-06 10:51:35.946 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:51:35.946 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:53:50.122 AM	doWork	--------Start----------
2013-09-06 10:53:50.138 AM	doWork	Send email to Validator
2013-09-06 10:53:50.138 AM	doWork	Create SAP File
2013-09-06 10:53:50.138 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:53:50.138 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:54:21.995 AM	doWork	Send Email to CC For status Completed
2013-09-06 10:54:21.995 AM	doWork	--------End------------
2013-09-06 10:55:19.495 AM	doWork	--------Start----------
2013-09-06 10:55:19.510 AM	doWork	Send email to Validator
2013-09-06 10:55:19.510 AM	doWork	Create SAP File
2013-09-06 10:55:19.510 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:55:19.510 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:55:55.615 AM	doWork	--------Start----------
2013-09-06 10:55:55.631 AM	doWork	Send email to Validator
2013-09-06 10:55:55.631 AM	doWork	Create SAP File
2013-09-06 10:55:55.631 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 10:55:55.631 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 10:58:55.485 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:00:24.249 AM	doWork	--------End------------
2013-09-06 11:03:44.607 AM	doWork	--------Start----------
2013-09-06 11:03:44.638 AM	doWork	Send email to Validator
2013-09-06 11:03:44.638 AM	doWork	Create SAP File
2013-09-06 11:03:44.638 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 11:03:44.638 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 11:03:44.638 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:14:37.138 AM	doWork	--------End------------
2013-09-06 11:17:14.598 AM	doWork	--------Start----------
2013-09-06 11:17:14.614 AM	doWork	Send email to Validator
2013-09-06 11:17:14.614 AM	doWork	Create SAP File
2013-09-06 11:17:14.614 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 11:17:14.614 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 11:17:14.614 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:19:22.091 AM	doWork	--------End------------
2013-09-06 11:20:09.721 AM	doWork	--------Start----------
2013-09-06 11:20:09.752 AM	doWork	Send email to Validator
2013-09-06 11:20:09.752 AM	doWork	Create SAP File
2013-09-06 11:20:09.752 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 11:20:09.752 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 11:20:34.160 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:20:50.042 AM	doWork	--------End------------
2013-09-06 11:21:10.921 AM	doWork	--------Start----------
2013-09-06 11:21:10.937 AM	doWork	Send email to Validator
2013-09-06 11:21:10.937 AM	doWork	Create SAP File
2013-09-06 11:21:10.937 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 11:21:10.937 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 11:23:36.622 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:23:36.638 AM	doWork	--------End------------
2013-09-06 11:25:02.684 AM	doWork	--------Start----------
2013-09-06 11:25:02.700 AM	doWork	Send email to Validator
2013-09-06 11:25:02.700 AM	doWork	Create SAP File
2013-09-06 11:25:02.700 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 11:25:02.700 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 11:28:18.358 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:28:18.374 AM	doWork	--------End------------
2013-09-06 11:28:52.870 AM	doWork	--------Start----------
2013-09-06 11:28:52.886 AM	doWork	Send email to Validator
2013-09-06 11:28:52.886 AM	doWork	Create SAP File
2013-09-06 11:28:52.886 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 11:28:52.886 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 11:29:14.624 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:29:17.076 AM	doWork	--------End------------
2013-09-06 11:30:50.956 AM	doWork	--------Start----------
2013-09-06 11:30:50.970 AM	doWork	Send email to Validator
2013-09-06 11:30:50.970 AM	doWork	Create SAP File
2013-09-06 11:30:50.970 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 11:30:50.970 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 11:30:51.290 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:30:51.304 AM	doWork	--------End------------
2013-09-06 11:32:20.004 AM	doWork	--------Start----------
2013-09-06 11:32:20.019 AM	doWork	Send email to Validator
2013-09-06 11:32:22.732 AM	doWork	Create SAP File
2013-09-06 11:32:22.732 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 11:32:22.732 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 11:32:25.227 AM	doWork	Send Email to CC For status Completed
2013-09-06 11:32:27.650 AM	doWork	--------End------------
2013-09-06 02:52:18.689 PM	doWork	--------Start----------
2013-09-06 02:52:18.749 PM	doWork	Send email to Validator
2013-09-06 02:52:18.749 PM	doWork	Create SAP File
2013-09-06 02:54:19.183 PM	doWork	--------Start----------
2013-09-06 02:54:19.198 PM	doWork	Send email to Validator
2013-09-06 02:54:19.198 PM	doWork	Create SAP File
2013-09-06 02:59:52.109 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 02:59:52.109 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 02:59:52.109 PM	doWork	Send Email to CC For status Completed
2013-09-06 02:59:52.109 PM	doWork	--------End------------
2013-09-06 03:27:17.442 PM	doWork	--------Start----------
2013-09-06 03:27:17.458 PM	doWork	Send email to Validator
2013-09-06 03:27:17.458 PM	doWork	Create SAP File
2013-09-06 03:29:09.537 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 03:29:09.537 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 03:29:09.537 PM	doWork	Send Email to CC For status Completed
2013-09-06 03:29:09.537 PM	doWork	--------End------------
2013-09-06 03:30:52.567 PM	doWork	--------Start----------
2013-09-06 03:30:52.583 PM	doWork	Send email to Validator
2013-09-06 03:30:52.583 PM	doWork	Create SAP File
2013-09-06 03:31:33.604 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 03:31:33.604 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 03:31:33.604 PM	doWork	Send Email to CC For status Completed
2013-09-06 03:31:33.604 PM	doWork	--------End------------
2013-09-06 03:32:01.977 PM	doWork	--------Start----------
2013-09-06 03:32:01.993 PM	doWork	Send email to Validator
2013-09-06 03:32:01.993 PM	doWork	Create SAP File
2013-09-06 03:32:05.584 PM	doWork	
2013-09-06 03:32:05.584 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 03:32:05.584 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 03:32:05.584 PM	doWork	Send Email to CC For status Completed
2013-09-06 03:32:05.584 PM	doWork	--------End------------
2013-09-06 03:32:13.907 PM	doWork	--------Start----------
2013-09-06 03:32:13.923 PM	doWork	Send email to Validator
2013-09-06 03:32:13.923 PM	doWork	Create SAP File
2013-09-06 03:32:32.020 PM	doWork	
2013-09-06 03:32:32.020 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 03:32:32.020 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 03:32:32.020 PM	doWork	Send Email to CC For status Completed
2013-09-06 03:32:32.020 PM	doWork	--------End------------
2013-09-06 03:32:51.948 PM	doWork	--------Start----------
2013-09-06 03:32:51.963 PM	doWork	Send email to Validator
2013-09-06 03:32:51.963 PM	doWork	Create SAP File
2013-09-06 03:32:52.338 PM	doWork	
2013-09-06 03:32:52.338 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 03:32:52.338 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 03:32:52.338 PM	doWork	Send Email to CC For status Completed
2013-09-06 03:32:52.338 PM	doWork	--------End------------
2013-09-06 03:33:33.535 PM	doWork	--------Start----------
2013-09-06 03:33:33.566 PM	doWork	Send email to Validator
2013-09-06 03:33:33.566 PM	doWork	Create SAP File
2013-09-06 03:33:34.003 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 03:33:34.003 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 03:33:34.003 PM	doWork	Send Email to CC For status Completed
2013-09-06 03:33:34.003 PM	doWork	--------End------------
2013-09-06 03:33:47.096 PM	doWork	--------Start----------
2013-09-06 03:33:47.112 PM	doWork	Send email to Validator
2013-09-06 03:33:47.112 PM	doWork	Create SAP File
2013-09-06 03:33:47.455 PM	doWork	
2013-09-06 03:33:47.455 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-06 03:33:47.455 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-06 03:33:47.455 PM	doWork	Send Email to CC For status Completed
2013-09-06 03:33:47.455 PM	doWork	--------End------------
2013-09-09 10:24:24.859 AM	doWork	--------Start----------
2013-09-09 10:24:24.890 AM	doWork	Send email to Validator
2013-09-09 10:24:24.890 AM	doWork	Create SAP File
2013-09-09 10:24:38.542 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 10:25:57.504 AM	doWork	--------Start----------
2013-09-09 10:25:57.520 AM	doWork	Send email to Validator
2013-09-09 10:25:57.520 AM	doWork	Create SAP File
2013-09-09 10:26:00.144 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 10:26:29.495 AM	doWork	--------Start----------
2013-09-09 10:26:29.510 AM	doWork	Send email to Validator
2013-09-09 10:26:29.510 AM	doWork	Create SAP File
2013-09-09 10:26:29.510 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 10:30:11.307 AM	doWork	--------Start----------
2013-09-09 10:30:11.323 AM	doWork	Send email to Validator
2013-09-09 10:30:11.323 AM	doWork	Create SAP File
2013-09-09 10:30:11.323 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 10:36:25.851 AM	doWork	--------Start----------
2013-09-09 10:36:25.867 AM	doWork	Send email to Validator
2013-09-09 10:36:25.867 AM	doWork	Create SAP File
2013-09-09 10:36:25.867 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 10:37:10.840 AM	doWork	--------Start----------
2013-09-09 10:37:10.855 AM	doWork	Send email to Validator
2013-09-09 10:37:10.855 AM	doWork	Create SAP File
2013-09-09 10:37:10.855 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 10:38:37.990 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 10:38:37.990 AM	doWork	Send Email to CC For status Completed
2013-09-09 10:38:37.990 AM	doWork	--------End------------
2013-09-09 10:43:19.420 AM	doWork	--------Start----------
2013-09-09 10:43:19.435 AM	doWork	Send email to Validator
2013-09-09 10:43:19.435 AM	doWork	Create SAP File
2013-09-09 10:43:19.435 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 10:43:51.021 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 10:43:51.021 AM	doWork	Send Email to CC For status Completed
2013-09-09 10:43:51.021 AM	doWork	--------End------------
2013-09-09 11:14:52.056 AM	doWork	--------Start----------
2013-09-09 11:14:52.072 AM	doWork	Send email to Validator
2013-09-09 11:14:52.072 AM	doWork	Create SAP File
2013-09-09 11:14:52.072 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 11:15:07.456 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 11:15:07.456 AM	doWork	Send Email to CC For status Completed
2013-09-09 11:15:07.456 AM	doWork	--------End------------
2013-09-09 11:19:12.887 AM	doWork	--------Start----------
2013-09-09 11:19:12.903 AM	doWork	Send email to Validator
2013-09-09 11:19:12.903 AM	doWork	Create SAP File
2013-09-09 11:19:12.903 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 11:50:17.263 AM	doWork	--------Start----------
2013-09-09 11:50:17.295 AM	doWork	Send email to Validator
2013-09-09 11:54:39.446 AM	doWork	Create SAP File
2013-09-09 11:55:39.696 AM	doWork	
2013-09-09 11:58:31.415 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 11:59:35.679 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 12:15:07.333 PM	doWork	Send Email to CC For status Completed
2013-09-09 12:16:41.348 PM	doWork	--------End------------
2013-09-09 12:20:06.629 PM	doWork	--------Start----------
2013-09-09 12:20:06.645 PM	doWork	Send email to Validator
2013-09-09 12:20:32.168 PM	doWork	Create SAP File
2013-09-09 12:20:33.121 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 12:20:34.011 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
